n,accept-reoject,k-dDarts
100.0,5.756723642349243,5.741994619369507
100.0,5.644080638885498,5.637182950973511
100.0,5.667527198791504,5.5786452293396
100.0,5.750297784805298,5.492036819458008
100.0,5.66879940032959,5.689597845077515
100.0,5.677364826202393,5.623528242111206
100.0,5.5949249267578125,5.592481374740601
100.0,5.71448016166687,5.56509256362915
100.0,5.705640077590942,5.608514308929443
100.0,5.604471206665039,5.566994905471802
100.0,5.740965127944946,5.674503326416016
100.0,5.67123007774353,5.645014524459839
100.0,5.6804304122924805,5.653234004974365
100.0,5.741076231002808,5.607282876968384
100.0,5.768371820449829,5.644315242767334
100.0,5.662961483001709,5.526782274246216
100.0,5.721628904342651,5.677924871444702
100.0,5.710077285766602,5.468093156814575
100.0,5.67731237411499,5.537712097167969
100.0,5.70859432220459,5.6815104484558105
200.0,14.357454538345337,13.28960371017456
200.0,14.424152374267578,13.057737350463867
200.0,14.446858406066895,13.113069772720337
200.0,14.615894556045532,13.458340406417847
200.0,14.094159603118896,13.378275394439697
200.0,14.221456050872803,14.109541893005371
200.0,13.765917301177979,14.071155786514282
200.0,14.326825618743896,12.087053537368774
200.0,13.892926931381226,12.644046783447266
200.0,14.133997201919556,13.00875449180603
200.0,14.328851699829102,14.052728176116943
200.0,14.122295379638672,13.462425231933594
200.0,13.850608587265015,13.174232721328735
200.0,14.364636659622192,13.61299991607666
200.0,14.383217096328735,12.888875722885132
200.0,14.29924988746643,13.53817105293274
200.0,14.47261118888855,13.579647064208984
200.0,13.99940800666809,13.219624042510986
200.0,14.732959508895874,14.290336847305298
200.0,14.115094900131226,13.454808712005615
300.0,29.327368021011353,26.593625783920288
300.0,28.878915309906006,26.0536150932312
300.0,28.143680810928345,26.133084774017334
300.0,29.8375027179718,27.412550449371338
300.0,29.213846445083618,26.377291679382324
300.0,30.385103225708008,25.590372800827026
300.0,29.289395570755005,27.59194326400757
300.0,29.10849165916443,26.3997700214386
300.0,29.614094972610474,27.36709713935852
300.0,28.249253034591675,25.781026363372803
300.0,28.985928297042847,26.221928358078003
300.0,28.104224920272827,26.77340579032898
300.0,28.292827606201172,25.449068307876587
300.0,27.19380497932434,25.884827852249146
300.0,29.409276723861694,25.4025399684906
300.0,29.67005968093872,25.148242712020874
300.0,28.519524097442627,26.08186411857605
300.0,29.08597183227539,26.4775230884552
300.0,29.535760641098022,24.879438877105713
300.0,29.448230981826782,26.245296955108643
400.0,55.9636344909668,43.19237303733826
400.0,52.61379408836365,51.70699667930603
400.0,53.54323601722717,47.77088642120361
400.0,52.638453006744385,43.862507343292236
400.0,53.78913640975952,41.872174978256226
400.0,54.42325758934021,48.02284502983093
400.0,52.383307456970215,42.60013437271118
400.0,52.75694227218628,49.556201219558716
400.0,54.95788550376892,45.473082542419434
400.0,52.49948573112488,44.65465068817139
400.0,53.954641342163086,45.32339596748352
400.0,54.493399143218994,48.05229449272156
400.0,52.598926305770874,48.83887028694153
